Tier,Item,Chance %,Notes,
Floor,20 Poké Balls,18.0%,"Bread and butter, always useful",
,10 Great Balls,15.0%,,
,3 Revives,12.0%,,
,3 Max Potions,10.0%,,
,5 Exp Candy S,7.0%,Small XP boost,
Mid,5 Ultra Balls,6.0%,Solid upgrade over floor,
,1 Max Revive,5.0%,,
,5 EV Vitamin (random),5.0%,"HP Up, Protein, etc.",
,1 Evolution Stone (random),5.0%,Fire/Water/Thunder/Leaf/etc.,
,3 Exp Candy M,5.0%,,
,3 PP Up,3.5%,Modest but PvP-relevant,
High,1 Rare Candy,1.0%,The benchmark 1% item,
,1 Nature Mint (random),2.0%,PvP utility,
,2 EXP Candy L,2.0%,,
,Leftovers,1.0%,,
,"Common egg placeholder, no guaranteed IVs",0.0%,No guaranteed IVs,
Jackpot,1 Bottle Cap (single stat hyper train),0.5%,Best possible common pull,
,2 Common Keys,0.5%,Fun double-up,
,1 Rare Key,0.5%,Upgrade,
,1 Lucky Egg,0.5%,XP boost held item,
,1 Exp Share,0.5%,,
,TOTAL,100.0%,,
