Tier,Item,Chance %,Notes,
Floor,1 Rare Candy,10.0%,Common jackpot is rare floor,
,32 Quick balls,6.0%,,
,32 Ultra balls,6.0%,,
,5 IV Candy (random),8.0%,,
,5 Exp Candy M,10.0%,,
,3 PP Up,4.0%,,
,Leftovers,8.0%,,
Mid,3 EXP Candy L,6.0%,,
,3 Nature mints,4.0%,,
,Bee egg,6.0%,,
,Mint seed (random),6.0%,Farming mints,
,Uncommon pokemon egg placeholder,0.0%,,
,Lucky egg,4.0%,,
,EXP share,4.0%,,
,Focus held item,4.0%,,
,16 Nether warts,4.0%,Farming items,
High,1 Ability Patch,2.0%,Hidden ability — top PvP item,
,Rare pokemon egg placeholder,0.0%,,
,2 EXP candy XL,2.0%,,
,Silk Touch Book,2.0%,Economy grind tool,
,2 Bottle Cap,2.0%,,
Jackpot,"1 Shiny Egg (random species, random IVs)",0.5%,The chase item,
,1 Master Ball,0.5%,,
,1 Ultra Key,0.5%,Mega upgrade,
,2 Rare keys,0.5%,Double up,
,TOTAL,100.0%,,
